leftId	rightId	blockNum	leftCluster	rightCluster
Cume9g0438	Bhhi7g1109	1		
Cume9g0441	Bhhi7g1128	1		
Cume9g0478	Bhhi7g1136	1		
Cume9g0505	Bhhi7g0550	2		
Cume9g0548	Bhhi7g0559	2		
Cume9g0554	Bhhi7g0561	2		
Cume9g0562	Bhhi7g0562	2		
Cume9g0563	Bhhi7g0569	2		
Cume9g0574	Bhhi7g0570	2		
Cume9g0581	Bhhi7g0575	2		
Cume9g0586	Bhhi7g0581	2		
Cume9g0594	Bhhi7g0612	2		
Cume9g0609	Bhhi7g0632	2		
Cume9g1389	Bhhi7g0749	3		
Cume9g1394	Bhhi7g0751	3		
Cume9g1409	Bhhi7g0758	3		
Cume9g1413	Bhhi7g0765	3		
Cume9g1420	Bhhi7g0776	3		
Cume9g1422	Bhhi7g0777	3		
Cume9g1423	Bhhi7g0778	3		
Cume9g1428	Bhhi7g0785	3		
Cume9g1429	Bhhi7g0786	3		
Cume9g1440	Bhhi7g0825	3		
Cume9g1447	Bhhi7g0155	4		
Cume9g1399	Bhhi7g0181	4		
Cume9g1378	Bhhi7g0194	4		
Cume9g1348	Bhhi7g0212	4		
Cume9g1344	Bhhi7g0215	4		
Cume9g1328	Bhhi7g0233	4		
Cume9g1325	Bhhi7g0237	4		
Cume9g1322	Bhhi7g0243	4		
Cume9g1291	Bhhi7g0245	4		clusterUn
Cume9g0540	Bhhi7g0547	6		
Cume9g0505	Bhhi7g0550	6		
Cume9g0478	Bhhi7g0551	6		
Cume9g0477	Bhhi7g0553	6		
Cume9g0476	Bhhi7g0555	6		
Cume9g0448	Bhhi7g0585	6		
Cume9g0405	Bhhi7g0588	6		
Cume9g1120	Bhhi7g0607	7		
Cume9g1100	Bhhi7g0648	7		
Cume9g1096	Bhhi7g0649	7		
Cume9g1095	Bhhi7g0650	7		
Cume9g1094	Bhhi7g0653	7		
Cume9g1093	Bhhi7g0654	7		
Cume9g1070	Bhhi7g0654	7		
Cume9g0659	Bhhi7g0526	9		
Cume9g0655	Bhhi7g0528	9		
Cume9g0610	Bhhi7g0529	9		
Cume9g0590	Bhhi7g0577	9		
Cume9g0586	Bhhi7g0581	9		
Cume9g0539	Bhhi7g0585	9		
Cume9g0835	Bhhi7g0740	10		
Cume9g0804	Bhhi7g0777	10		
Cume9g0799	Bhhi7g0798	10		
Cume9g0779	Bhhi7g0832	10		
Cume9g0747	Bhhi7g0836	10		
Cume9g1028	Bhhi7g0600	11		
Cume9g1070	Bhhi7g0639	11		
Cume9g1093	Bhhi7g0653	11		
Cume9g1094	Bhhi7g0654	11		
Cume9g1199	Bhhi7g0862	12		
Cume9g1202	Bhhi7g0863	12		
Cume9g1206	Bhhi7g0869	12		
Cume9g1210	Bhhi7g0872	12		
Cume9g1702	Bhhi7g0263	13		
Cume9g1738	Bhhi7g0297	13		
Cume9g1747	Bhhi7g0309	13		
Cume9g1771	Bhhi7g0344	13		
Cume9g1855	Bhhi7g0308	14		
Cume9g1895	Bhhi7g0327	14		
Cume9g1914	Bhhi7g0371	14		
Cume9g1926	Bhhi7g0392	14		
Cume10g0811	Bhhi10g0377	1		
Cume10g0822	Bhhi10g0389	1		
Cume10g0828	Bhhi10g0393	1		
Cume10g0842	Bhhi10g0408	1		
Cume10g0848	Bhhi10g0413	1		
Cume10g0875	Bhhi10g0420	1		
Cume10g0876	Bhhi10g0421	1		
Cume10g0889	Bhhi10g0437	1		
Cume10g0899	Bhhi10g0454	1		
Cume10g0902	Bhhi10g0456	1		
Cume10g0909	Bhhi10g0462	1		
Cume10g0911	Bhhi10g0463	1		
Cume10g0912	Bhhi10g0469	1		
Cume10g0086	Bhhi10g0327	2		
Cume10g0083	Bhhi10g0328	2		
Cume10g0071	Bhhi10g0350	2		
Cume10g0061	Bhhi10g0360	2		
Cume10g0060	Bhhi10g0378	2		
Cume10g0013	Bhhi10g0382	2		
Cume10g0150	Bhhi10g0003	3		
Cume10g0142	Bhhi10g0035	3		
Cume10g0132	Bhhi10g0050	3		
Cume10g0118	Bhhi10g0073	3		
Cume10g0108	Bhhi10g0077	3		
Cume10g0060	Bhhi10g0081	3		
Cume10g0448	Bhhi10g0395	4		
Cume10g0436	Bhhi10g0417	4		
Cume10g0403	Bhhi10g0454	4		
Cume10g0395	Bhhi10g0481	4		
Cume10g0367	Bhhi10g0483	4		
Cume10g0322	Bhhi10g0487	4		
Cume10g1247	Bhhi10g0454	5		
Cume10g1227	Bhhi10g0487	5		
